2026-04-25 12:34:28 - Monitoring Started
2026-04-26 17:53:26 - [INIT] Netra Application Started
2026-04-26 17:53:26 - [INIT] Netra Application Started
2026-04-26 17:57:39 - [INIT] Netra Application Started
2026-04-26 17:57:39 - [INIT] Netra Application Started
2026-04-26 18:07:33 - [INIT] Netra Application Started
2026-04-26 21:17:49 - [INIT] Netra Application Started
2026-04-26 21:17:50 - [INIT] Netra Application Started
2026-04-26 21:25:12 - [START] Monitoring session initiated
2026-04-26 22:42:52 - [INIT] Netra Application Started
2026-04-26 22:42:58 - [INIT] Netra Application Started
2026-04-26 22:45:58 - [START] Monitoring session initiated
2026-04-26 23:05:43 - [START] Monitoring session initiated
2026-04-26 23:06:10 - [STOP] Monitoring session ended | Packets Captured: 0
2026-04-26 23:17:01 - [START] Monitoring session initiated
2026-04-26 23:18:09 - [START] Monitoring session initiated
2026-04-27 20:23:39 - [INIT] Netra Application Started
2026-04-27 20:23:40 - [INIT] Netra Application Started
2026-04-27 20:23:54 - [START] Monitoring session initiated
2026-04-27 20:34:28 - [INIT] Netra Application Started
2026-04-27 20:34:29 - [INIT] Netra Application Started
2026-04-27 20:34:37 - [START] Monitoring session initiated
2026-04-27 20:41:52 - [INIT] Netra Application Started
2026-04-27 20:43:00 - [INIT] Netra Application Started
2026-04-27 21:07:25 - [INIT] Netra Application Started
2026-04-27 21:07:28 - [INIT] Netra Application Started
2026-04-27 21:09:53 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:54 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:55 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:56 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:57 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:58 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:59 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:00 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:01 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:02 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:03 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:04 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:05 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:06 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:07 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:08 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:09 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:10 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:11 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:12 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:13 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:14 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:15 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:16 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:17 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:18 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:19 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:20 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:21 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:22 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:23 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:24 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:25 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:26 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:27 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:28 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:29 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:30 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:31 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:32 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:33 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:34 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:35 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:36 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:37 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:38 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:39 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:40 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:41 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:42 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:43 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:44 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:45 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:46 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:47 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:48 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:49 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:50 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:51 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:52 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:54 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:55 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:56 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:57 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:58 - [SNIFFER] Real-time packet capture started
2026-04-27 21:10:59 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:00 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:01 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:02 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:03 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:04 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:05 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:06 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:07 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:08 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:09 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:10 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:11 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:12 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:13 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:14 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:15 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:16 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:17 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:18 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:19 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:20 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:21 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:22 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:23 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:24 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:25 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:26 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:27 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:28 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:29 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:30 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:31 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:32 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:33 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:34 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:35 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:36 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:37 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:38 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:39 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:40 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:41 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:42 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:44 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:45 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:46 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:47 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:48 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:49 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:50 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:51 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:52 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:53 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:54 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:55 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:56 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:57 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:58 - [SNIFFER] Real-time packet capture started
2026-04-27 21:11:59 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:00 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:01 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:02 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:03 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:04 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:05 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:06 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:07 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:08 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:09 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:10 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:11 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:12 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:13 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:14 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:15 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:16 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:17 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:18 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:19 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:20 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:21 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:22 - [SNIFFER] Real-time packet capture started
2026-04-27 21:12:23 - [STOP] Monitoring ended | Packets: 29054 | Data: 30907.88 KB
2026-04-27 21:12:23 - [STOP] Monitoring session ended | Packets Captured: 29054
2026-04-27 21:16:37 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:37 - [START] Real-time monitoring session initiated
2026-04-27 21:16:37 - [START] Real-time monitoring session initiated
2026-04-27 21:16:38 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:39 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:40 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:42 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:43 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:44 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:45 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:46 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:47 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:48 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:49 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:50 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:51 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:52 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:53 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:54 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:55 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:56 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:57 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:58 - [SNIFFER] Real-time packet capture started
2026-04-27 21:16:59 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:00 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:01 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:02 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:03 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:04 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:05 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:06 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:07 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:08 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:09 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:10 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:11 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:12 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:13 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:14 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:15 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:16 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:17 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:18 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:19 - [SNIFFER] Real-time packet capture started
2026-04-27 21:17:20 - [STOP] Monitoring ended | Packets: 2211 | Data: 2099.9 KB
2026-04-27 21:17:20 - [STOP] Monitoring session ended | Packets Captured: 2211
2026-04-27 21:19:44 - [START] Real-time monitoring session initiated
2026-04-27 21:19:44 - [START] Real-time monitoring session initiated
2026-04-27 21:19:45 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:46 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:47 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:48 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:49 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:50 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:51 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:52 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:53 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:54 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:55 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:56 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:57 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:58 - [SNIFFER] Real-time packet capture started
2026-04-27 21:19:59 - [SNIFFER] Real-time packet capture started
2026-04-27 21:20:00 - [SNIFFER] Real-time packet capture started
2026-04-27 21:20:01 - [SNIFFER] Real-time packet capture started
2026-04-27 21:20:02 - [SNIFFER] Real-time packet capture started
2026-04-27 21:20:03 - [SNIFFER] Real-time packet capture started
2026-04-27 21:20:04 - [STOP] Monitoring ended | Packets: 425 | Data: 215.16 KB
2026-04-27 21:20:04 - [STOP] Monitoring session ended | Packets Captured: 425
2026-04-27 21:22:11 - [START] Real-time monitoring session initiated
2026-04-27 21:22:11 - [SNIFFER] Real-time packet capture started
2026-04-27 21:22:11 - [START] Real-time monitoring session initiated
2026-04-27 21:22:12 - [SNIFFER] Real-time packet capture started
2026-04-27 21:22:13 - [SNIFFER] Real-time packet capture started
2026-04-27 21:22:14 - [SNIFFER] Real-time packet capture started
2026-04-27 21:22:15 - [SNIFFER] Real-time packet capture started
2026-04-27 21:22:16 - [STOP] Monitoring ended | Packets: 205 | Data: 139.84 KB
2026-04-27 21:22:16 - [STOP] Monitoring session ended | Packets Captured: 205
2026-04-27 21:33:06 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:06 - [START] Real-time monitoring session initiated
2026-04-27 21:33:06 - [START] Real-time monitoring session initiated
2026-04-27 21:33:07 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:08 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:09 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:10 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:11 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:12 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:13 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:14 - [SNIFFER] Real-time packet capture started
2026-04-27 21:33:15 - [STOP] Monitoring ended | Packets: 317 | Data: 168.1 KB
2026-04-27 21:33:15 - [STOP] Monitoring session ended | Packets Captured: 317
